itemId,invoiceId,ordinal,lineNumber,name,unit,quantity,unitPriceNet,unitPriceGross,netValue,grossValue,vatRate,vatAmount,correctionStateBefore
1,1,1,1,Abonament telefoniczny - pakiet Business,szt.,1,500.00,615.00,500.00,615.00,23,115.00,false
2,1,2,2,Usługa internetowa światłowodowa 300Mb/s,szt.,1,300.00,369.00,300.00,369.00,23,69.00,false
3,1,3,3,Opłata za nadwyżkę transferu danych,szt.,1,200.41,246.50,200.41,246.50,23,46.09,false
4,2,1,1,Kabel YDYp 3x2.5mm 100m,szt.,2,250.00,307.50,500.00,615.00,23,115.00,false
5,2,2,2,Wyłącznik nadmiarowo-prądowy B16,szt.,10,15.00,18.45,150.00,184.50,23,34.50,false
6,2,3,3,Rozdzielnica elektryczna 12-modułowa,szt.,1,220.00,270.60,220.00,270.60,23,50.60,false
7,2,4,4,Transport i rozładunek,usł.,1,80.00,86.40,80.00,86.40,8,6.40,false
8,4,1,1,Papier A4 80g/m2 (przed korektą),op.,10,18.00,22.14,180.00,221.40,23,41.40,true
9,4,2,1,Papier A4 80g/m2,op.,8,18.00,22.14,144.00,177.12,23,33.12,false
10,4,3,2,Toner do drukarki HP CF283A,szt.,3,95.00,116.85,285.00,350.55,23,65.55,false
11,4,4,3,Zszywki biurowe 24/6,op.,20,3.50,4.31,70.00,86.10,23,16.10,false
12,4,5,4,Segregator A4 75mm,szt.,15,7.20,8.86,108.00,132.84,23,24.84,false
13,7,1,1,Blacha stalowa czarna 2mm 1000x2000mm,szt.,5,240.00,295.20,1200.00,1476.00,23,276.00,false
14,7,2,2,Kątownik stalowy 40x40x4mm 6m,szt.,12,35.00,43.05,420.00,516.60,23,96.60,false
15,7,3,3,Usługa cięcia laserowego,usł.,1,150.00,184.50,150.00,184.50,23,34.50,false
16,8,1,1,Import - dostawa komponentów elektronicznych (WDT),szt.,100,12.50,12.50,1250.00,1250.00,0 WDT,0.00,false
17,8,2,2,Usługa konsultingowa IT - reverse charge,usł.,1,2000.00,2000.00,2000.00,2000.00,oo,0.00,false
18,8,3,3,Licencja oprogramowania - eksport poza UE,szt.,1,500.00,500.00,500.00,500.00,np I,0.00,false
19,8,4,4,Materiały biurowe uzupełniające,op.,5,20.00,24.60,100.00,123.00,23,23.00,false
20,10,1,1,Energia elektryczna - zużycie czynne,kWh,450,0.65,0.80,292.50,359.78,23,67.28,false
21,10,2,2,Opłata dystrybucyjna zmienna,kWh,450,0.35,0.43,157.50,193.73,23,36.23,false
